New Fleet,Number
24,1
27,2
27,3
25,4
31,5
35,6
24,7
19,8
28,9
23,10
27,11
20,12
22,13
18,14
20,15
31,16
32,17
31,18
32,19
24,20
26,21
29,22
24,23
24,24
33,25
33,26
32,27
28,28
19,29
32,30
34,31
26,32
30,33
22,34
22,35
33,36
39,37
36,38
28,39
27,40
21,41
24,42
30,43
34,44
32,45
38,46
37,47
30,48
31,49
37,50
32,51
47,52
41,53
45,54
34,55
33,56
24,57
32,58
39,59
35,60
32,61
37,62
38,63
34,64
34,65
32,66
33,67
32,68
25,69
24,70
37,71
31,72
36,73
36,74
34,75
38,76
32,77
38,78
32,79
